game_date,season,promo_name,promo_category,promo_audience,sponsor,is_fireworks,is_giveaway,is_theme_night,is_weekly_promo,is_group_sales,is_community,is_appearance,is_jersey_auction,source_name
2025-04-04,2025,Madison Community Night / Hometown Throwdown,community,Madison community,Redstone Federal Credit Union,0,0,1,0,1,1,0,0,official_2025_hh_april_4_6
2025-04-04,2025,Opening Night Fireworks,fireworks,families; groups,"Pyro Shows, Inc.",1,0,1,0,0,0,0,0,official_2025_hh_april_4_6
2025-04-04,2025,2025 Magnet Schedule Giveaway,giveaway,all fans,Huntsville-Madison Convention & Visitors Bureau,0,1,0,0,0,0,0,0,official_2025_giveaways_appearances
2025-04-04,2025,Opening Night,theme_night,all fans,,0,0,1,0,0,0,0,0,official_2025_hh_april_4_6
2025-04-05,2025,Saturday Night Fireworks,fireworks,families; groups,WOW!,1,0,1,0,0,0,0,0,official_2025_hh_april_4_6
2025-04-05,2025,License Plate Frame Giveaway,giveaway,adults 18+,WOW!,0,1,0,0,0,0,0,0,official_2025_giveaways_appearances
2025-04-06,2025,Blue Bell Sunday Sundaes,food_beverage,families,Blue Bell,0,0,0,1,0,0,0,0,official_2025_hh_april_4_6
2025-04-06,2025,Fleece Blanket Giveaway,giveaway,adults 18+,Crestwood Medical Center,0,1,0,0,0,0,0,0,official_2025_giveaways_appearances
2025-04-06,2025,Postgame Kids Run the Bases,weekly_promo,kids; families,Listerhill Credit Union,0,0,0,1,0,0,0,0,official_2025_weekly_promos
2025-04-06,2025,Pregame Player Autographs,weekly_promo,all fans,,0,0,0,1,0,0,1,0,official_2025_weekly_promos
2025-04-08,2025,Christian Moore Autograph Appearance,appearance,all fans,Bill Penney Toyota,0,0,0,0,0,0,1,0,official_2025_hh_april_8_13
2025-04-08,2025,Tennessee Communities Hometown Throwdown,community,Southern Tennessee communities,Redstone Federal Credit Union,0,0,1,0,1,1,0,0,official_2025_hh_april_8_13
2025-04-08,2025,Christian Moore Bobblehead Giveaway,giveaway,adults 18+,Bill Penney Toyota,0,1,0,0,0,0,0,0,official_2025_giveaways_appearances
2025-04-08,2025,Reeds Jewelers Ladies Night,weekly_promo,women; adults 21+,Reeds Jewelers,0,0,0,1,0,0,0,0,official_2025_weekly_promos
2025-04-09,2025,Education Day,education,students; schools,,0,0,1,0,1,1,0,0,official_2025_hh_april_8_13
2025-04-10,2025,Anime Jersey Auction,jersey_auction,collectors; all fans,,0,0,1,0,0,1,0,1,official_2025_hh_april_8_13
2025-04-10,2025,Anime/Japanese Heritage Night,theme_night,anime fans; families,,0,0,1,0,0,0,0,0,official_2025_hh_april_8_13
2025-04-10,2025,Take MEOW't to the Ballpark Cat Night,theme_night,cat owners; families,Cattyshack,0,0,1,0,0,1,0,0,official_2025_hh_april_8_13
2025-04-10,2025,Throwback Thursday,weekly_promo,adults 21+,,0,0,1,1,0,0,0,0,official_2025_weekly_promos
2025-04-11,2025,Jordan Matthews Ceremonial First Pitch,appearance,sports fans; local community,,0,0,0,0,0,0,1,0,official_2025_hh_april_8_13
2025-04-11,2025,Friday Night Fireworks,fireworks,families; groups,AC Hotel Downtown Huntsville,1,0,1,0,0,0,0,0,official_2025_hh_april_8_13
2025-04-12,2025,Construction Worker Appreciation Night,appreciation,construction workers; local businesses,Associated Builders and Contractors of North Alabama,0,0,1,0,1,1,0,0,official_2025_hh_april_8_13
2025-04-13,2025,Mental Health Awareness Day,community,all fans,WellStone Inc.,0,0,1,0,0,1,0,0,official_2025_hh_april_8_13
2025-04-13,2025,Blue Bell Sunday Sundaes,food_beverage,families,Blue Bell,0,0,0,1,0,0,0,0,official_2025_hh_april_8_13
2025-04-13,2025,Postgame Kids Run the Bases,weekly_promo,kids; families,Listerhill Credit Union,0,0,0,1,0,0,0,0,official_2025_weekly_promos
2025-04-13,2025,Pregame Player Autographs,weekly_promo,all fans,,0,0,0,1,0,0,1,0,official_2025_weekly_promos
2025-04-22,2025,Huntsville Navy Week,appreciation,military; Navy community,,0,0,1,0,1,1,0,0,official_2025_hh_april_22_27
2025-04-22,2025,Caden Dana Bobblehead Giveaway,giveaway,adults 18+,SportsMED,0,1,0,0,0,0,0,0,official_2025_giveaways_appearances
2025-04-22,2025,Reeds Jewelers Ladies Night,weekly_promo,women; adults 21+,Reeds Jewelers,0,0,0,1,0,0,0,0,official_2025_weekly_promos
2025-04-23,2025,Education Day,education,students; schools,,0,0,1,0,1,1,0,0,official_2025_hh_april_22_27
2025-04-24,2025,Raise The Roof Night T-Shirt Giveaway,giveaway,adults 18+,Storm Guard Roofing,0,1,0,0,0,0,0,0,official_2025_giveaways_appearances
